cellMass,time,predyn
1317.6581933555399,0,0
1331.654867894044,60,0
1348.5350896052382,120,0
1366.5037103252298,180,0
1384.7766748003094,240,0
1404.6602616554642,300,0
1425.4768572408407,360,0
1445.7825079967572,420,0
1465.9970377941377,480,0
1486.4557351646054,540,0
1507.0642801337717,600,0
1528.6174291417904,660,0
1551.0339547809651,720,0
1573.1802480735435,780,0
1594.627124,840,0
1616.3316674105167,900,0
1637.5513325153308,960,0
1658.763948,1020,0
1680.6156191593914,1080,0
1702.690638950543,1140,0
1724.8606056281585,1200,0
1747.251825635414,1260,1
1770.1242192862576,1320,1
1793.4777865806898,1380,1
1817.3125275187103,1440,1
1841.6284421003193,1500,1
1866.4255303255168,1560,1
1891.7037921943027,1620,1
1917.4632277066771,1680,1
1943.703837,1740,1
1970.4256196621911,1800,1
1997.628576105331,1860,1
2025.312706192059,1920,1
2053.478009922376,1980,1
2082.124487296281,2040,1
2111.2521383137746,2100,1
2140.8609629748566,2160,1
2170.9509612795273,2220,1
2201.522133227786,2280,1
2232.5744788196334,2340,1
2264.1079980550694,2400,1
2296.1226909340935,2460,1
1135.745174738792,2501,0
1152.0097648801004,2561,0
1167.3973193801633,2621,0
1182.6482672268971,2681,0
1198.4818684739428,2741,0
1214.1410361088208,2801,0
1229.891506347866,2861,0
1245.7948414781108,2921,0
1262.3082554565312,2981,0
1278.6102167166098,3041,0
1295.6440387939022,3101,0
1312.8335602435786,3161,0
1329.915651687539,3221,0
1347.3349085108052,3281,0
1364.6822174420925,3341,0
1381.9989929952533,3401,0
1399.783459019661,3461,0
1416.9538843010605,3521,0
1434.2727110551532,3581,0
1451.596284411944,3641,0
1468.882739651554,3701,0
1486.193478034693,3761,0
1503.6051614715295,3821,0
1521.4358809832188,3881,0
1539.2666004950233,3941,1
1557.0973200068277,4001,1
1574.928039518632,4061,1
1592.7587590304363,4121,1
1610.5894785422406,4181,1
1628.420198054045,4241,1
1646.2509175658492,4301,1
1664.0816370776536,4361,1
1681.9123565894579,4421,1
1699.7430761012622,4481,1
1717.5737956130665,4541,1
1735.4045151248708,4601,1
1753.2352346366752,4661,1
1771.0659541484795,4721,1
1788.8966736602838,4781,1
1806.7273931720881,4841,1
1824.5581126838924,4901,1
1842.3888321956968,4961,1
