0 pred,0 time,1 pred,1 time,2 pred,2 time,3 pred,3 time,4 pred,4 time,5 pred,5 time
1747.251825635414,1260,1539.2666004950233,3941,1440.2524726257586,7199,1363.4196059777112,10618,1333.4723641331243,14322,1467.3602923382477,17975
1770.1242192862576,1320,1557.0973200068277,4001,1459.098130045596,7259,1377.9298263205326,10678,1352.533070211155,14382,1486.9724347125357,18035
1793.4777865806898,1380,1574.928039518632,4061,1478.2388354663776,7319,1392.549881399793,10738,1371.5937762891858,14442,1507.0100392706893,18095
1817.3125275187103,1440,1592.7587590304363,4121,1497.6745888881037,7379,1407.2797712154927,10798,1390.6544823672166,14502,1527.4731060127085,18155
1841.6284421003193,1500,1610.5894785422406,4181,1517.405390310774,7439,1422.1194957676312,10858,1409.7151884452473,14562,1548.3616349385936,18215
1866.4255303255168,1560,1628.420198054045,4241,1537.4312397343888,7499,1437.0690550562088,10918,1428.775894523278,14622,1569.6756260483444,18275
1891.7037921943027,1620,1646.2509175658492,4301,1557.752137158948,7559,1452.1284490812254,10978,1447.8366006013089,14682,1591.415079341961,18335
1917.4632277066771,1680,1664.0816370776536,4361,1578.3680825844515,7619,1467.2976778426812,11038,1466.8973066793396,14742,1613.5799948194433,18395
1943.703837,1740,1681.9123565894579,4421,1599.2790760108994,7679,1482.5767413405758,11098,1485.9580127573704,14802,1636.1703724807912,18455
1970.4256196621911,1800,1699.7430761012622,4481,1620.4851174382918,7739,1497.9656395749096,11158,1505.0187188354012,14862,1659.186212326005,18515
1997.628576105331,1860,1717.5737956130665,4541,1641.9862068666284,7799,1513.4643725456824,11218,1524.079424913432,14922,1682.6275143550845,18575
2025.312706192059,1920,1735.4045151248708,4601,1663.7823442959095,7859,1529.0729402528943,11278,1543.1401309914627,14982,1706.4942785680296,18635
2053.478009922376,1980,1753.2352346366752,4661,1685.873529726135,7919,1544.7913426965451,11338,1562.2008370694934,15042,1730.7865049648406,18695
2082.124487296281,2040,1771.0659541484795,4721,1708.2597631573049,7979,1560.619579876635,11398,1581.2615431475242,15102,1755.5041935455172,18755
2111.2521383137746,2100,1788.8966736602838,4781,1730.941044589419,8039,1576.557651793164,11458,1600.322249225555,15162,1780.6473443100597,18815
2140.8609629748566,2160,1806.7273931720881,4841,1753.9173740224778,8099,1592.605558446132,11518,1619.3829553035857,15222,1806.2159572584678,18875
2170.9509612795273,2220,1824.5581126838924,4901,1777.1887514564808,8159,1608.7632998355389,11578,1638.4436613816165,15282,1832.2100323907416,18935
2201.522133227786,2280,1842.3888321956968,4961,1800.7551768914282,8219,1625.030875961385,11638,1657.5043674596473,15342,1858.6295697068813,18995
2232.5744788196334,2340,1860.219551707501,5021,1824.61665,8279,1641.408287,11698,1676.565073537678,15402,1885.4745692068866,19055
2264.1079980550694,2400,1878.0502712193054,5081,1848.7731717641561,8339,1657.8955324223941,11758,1695.6257796157088,15462,1912.7450308907578,19115
2296.1226909340935,2460,1895.8809907311097,5141,1873.2247412019367,8399,1674.4926127575573,11818,1714.6864856937395,15522,1940.4409547584946,19175
,,1913.711710242914,5201,1897.9713586406617,8459,1691.1995278291595,11878,1733.7471917717703,15582,1968.562340810097,19235
,,1931.5424297547183,5261,1923.013024080331,8519,1708.0162776372006,11938,1752.807897849801,15642,1997.1091890455655,19295
,,1949.3731492665227,5321,1948.3497375209447,8579,1724.9428621816808,11998,1771.8686039278318,15702,2026.0814994648995,19355
,,1967.203868778327,5381,1973.9814989625029,8639,1741.979281,12058,1790.9293100058626,15762,2055.4792720680994,19415
,,,,1999.9083084050053,8699,1759.1255354799584,12118,1809.9900160838934,15822,2085.302506855165,19475
,,,,2026.1301658484522,8759,1776.3816242337557,12178,1829.050722161924,15882,2115.5512038260968,19535
,,,,2052.6470712928435,8819,1793.747547723992,12238,1848.1114282399549,15942,,
,,,,2079.4590247381793,8879,1811.2233059506675,12298,1867.1721343179856,16002,,
,,,,,,,,1886.2328403960164,16062,,
,,,,,,,,1905.2935464740472,16122,,
,,,,,,,,1924.354252552078,16182,,
,,,,,,,,1943.4149586301087,16242,,
